frequencia,nota_media,atividades_entregues,acessos_ava,reprovas_anteriores,situacao_financeira,risco_evasao
65.0,5.9,73.5,9,0,1,baixo
55.1,4.5,10.5,8,2,1,alto
54.2,7.1,31.0,3,1,2,alto
76.1,10.0,71.0,18,1,2,baixo
25.6,3.8,47.3,5,4,1,alto
49.6,4.4,46.7,4,3,2,alto
58.6,5.4,40.2,3,2,3,alto
74.2,9.0,100.0,15,0,3,baixo
97.2,5.8,95.8,13,0,3,baixo
73.7,5.9,61.5,12,0,2,medio
51.8,3.7,18.4,7,1,3,alto
91.1,10.0,100.0,17,1,3,baixo
83.0,7.6,78.0,19,0,1,baixo
35.9,2.2,32.8,2,4,3,alto
84.5,6.7,84.0,12,2,2,baixo
73.1,4.1,76.1,12,2,2,medio
40.4,4.0,40.5,2,2,1,alto
100.0,8.5,85.3,17,0,3,baixo
85.7,5.5,100.0,9,0,3,baixo
57.9,4.3,35.6,4,1,2,alto
87.9,5.2,62.5,13,1,2,medio
59.1,6.3,66.6,10,0,3,medio
68.5,3.7,75.2,4,1,2,medio
50.7,3.1,73.9,2,1,1,alto
52.2,3.1,47.4,3,3,3,alto
76.1,6.4,79.7,11,0,2,medio
50.0,4.3,73.3,14,0,3,medio
36.4,0.0,28.2,7,1,1,alto
87.1,8.4,78.3,11,1,3,baixo
84.7,6.0,69.4,12,0,2,medio
60.4,4.3,75.0,8,0,2,medio
62.6,5.4,57.9,5,1,2,medio
82.2,7.2,58.9,6,1,3,medio
81.8,5.4,93.0,15,0,2,baixo
86.8,4.8,54.4,6,3,2,medio
80.6,5.0,60.7,15,2,2,medio
56.6,7.3,86.7,12,0,1,baixo
54.4,6.1,59.8,14,0,3,medio
97.0,9.0,100.0,14,1,2,baixo
84.2,5.6,72.2,13,2,3,medio
71.2,6.5,73.3,6,0,2,medio
89.1,7.9,36.6,13,2,2,medio
48.6,6.5,53.5,1,2,3,alto
60.3,2.9,49.2,4,2,2,alto
44.6,3.6,50.1,4,2,2,alto
48.1,5.6,65.7,3,1,1,alto
45.2,2.8,28.2,4,5,2,alto
48.0,2.6,40.8,5,2,1,alto
90.5,7.8,97.2,10,0,2,baixo
73.2,7.2,88.0,12,0,3,baixo
39.3,2.0,37.6,3,1,2,alto
45.4,6.7,81.0,8,1,3,medio
50.4,6.9,84.8,5,2,2,medio
50.6,3.1,62.3,4,5,1,alto
99.7,6.1,78.5,11,0,3,baixo
87.7,9.2,94.4,14,1,2,baixo
65.3,3.0,30.6,3,3,2,alto
62.5,6.5,44.6,11,3,3,medio
100.0,5.9,84.7,12,0,2,baixo
62.4,1.9,52.8,7,5,3,alto
45.8,4.3,42.5,2,3,2,alto
57.4,5.4,78.6,10,1,2,medio
65.8,9.6,57.9,8,1,2,medio
82.4,8.2,83.9,13,0,2,baixo
72.0,5.5,70.2,9,0,2,medio
78.4,9.1,79.1,6,0,2,baixo
92.3,5.0,100.0,20,0,3,baixo
47.7,3.3,29.7,2,3,3,alto
37.6,3.5,50.7,3,1,2,alto
76.7,7.4,86.9,10,0,2,medio
51.3,1.8,54.6,1,2,3,alto
67.7,7.8,87.6,6,1,2,medio
61.7,6.0,55.9,10,2,2,medio
54.9,4.9,57.3,4,2,1,alto
52.1,4.1,22.8,5,0,2,alto
94.2,8.8,75.4,11,1,3,baixo
72.2,6.0,57.0,8,0,3,medio
65.2,6.9,58.5,8,2,3,medio
76.2,5.8,77.5,11,0,2,medio
94.1,5.9,51.9,7,0,1,medio
95.8,5.4,100.0,9,1,3,baixo
79.6,7.9,100.0,11,0,3,baixo
80.3,10.0,83.8,7,0,2,baixo
62.6,6.3,65.6,5,2,2,medio
71.2,6.3,87.7,16,1,2,baixo
91.6,4.8,100.0,21,1,3,baixo
63.6,7.3,92.5,12,1,2,medio
27.2,0.7,22.9,1,3,2,alto
43.4,0.3,0.0,6,4,3,alto
91.1,8.1,89.8,16,2,3,baixo
36.7,4.4,36.9,7,1,2,alto
92.3,8.6,76.2,21,0,1,baixo
70.9,6.6,96.2,9,0,1,baixo
64.5,10.0,82.3,9,0,2,baixo
80.3,7.7,70.8,9,3,2,medio
100.0,2.9,87.1,12,0,3,baixo
69.5,6.2,83.9,9,0,3,medio
75.3,4.7,100.0,10,2,1,medio
79.9,5.9,44.6,10,0,1,medio
100.0,8.6,65.9,9,0,3,baixo
54.7,1.3,56.6,2,3,1,alto
61.5,4.2,55.5,2,3,2,alto
67.6,6.5,21.6,6,2,2,medio
68.2,6.4,32.6,7,0,2,medio
51.6,4.3,15.9,6,4,2,alto
82.2,6.9,57.1,11,3,2,medio
100.0,5.9,96.3,11,0,3,baixo
76.0,5.8,41.9,9,4,2,medio
53.0,4.4,56.7,2,2,1,alto
99.0,7.9,90.4,12,1,2,baixo
39.7,5.0,36.2,3,3,1,alto
81.7,5.7,70.8,7,0,2,medio
58.3,5.5,66.6,6,3,2,medio
68.4,3.1,30.1,5,2,2,alto
52.7,4.5,39.7,5,3,2,alto
62.6,6.9,62.8,5,1,2,medio
39.6,4.6,39.9,5,2,1,alto
97.2,5.2,53.1,9,2,1,medio
77.5,4.9,42.7,7,1,2,medio
58.4,2.4,28.4,2,2,1,alto
49.1,4.4,30.8,2,1,2,alto
33.5,3.4,42.6,6,3,1,alto
82.0,8.0,94.7,18,0,1,baixo
72.1,7.4,91.9,15,0,2,baixo
82.4,8.3,79.6,14,0,2,baixo
70.3,3.8,49.9,2,1,2,alto
63.0,7.3,77.0,13,0,3,medio
69.1,3.9,73.8,3,1,2,medio
88.7,10.0,67.2,20,0,3,baixo
88.3,6.6,56.9,8,0,2,medio
68.9,5.0,48.7,14,1,2,medio
48.3,2.9,54.8,4,3,1,alto
27.4,3.7,35.8,12,4,1,alto
33.2,4.6,64.2,4,1,1,alto
74.0,6.7,100.0,15,0,3,baixo
58.2,5.0,55.0,1,1,1,alto
47.1,3.3,65.3,3,0,2,alto
74.9,4.4,46.6,3,1,2,alto
42.2,1.7,54.7,4,1,2,alto
73.4,6.8,52.9,10,1,3,medio
40.3,2.7,30.0,4,3,1,alto
78.6,7.0,80.8,14,0,3,medio
70.7,5.7,69.3,7,1,1,medio
25.2,7.3,68.3,4,3,2,alto
78.6,8.1,100.0,15,4,1,baixo
81.5,4.0,49.3,11,2,1,medio
64.4,6.9,64.3,7,1,3,medio
91.6,7.1,80.0,14,0,2,baixo
97.5,6.4,63.1,13,0,3,baixo
88.2,2.8,35.8,6,1,3,medio
67.1,3.4,57.5,5,3,1,alto
28.7,5.0,58.0,4,2,1,alto
81.2,5.7,84.9,16,0,3,baixo
37.1,3.6,42.1,1,1,3,alto
90.1,6.8,100.0,12,0,3,baixo
53.1,4.1,44.6,4,3,2,alto
93.7,7.8,100.0,13,0,3,baixo
35.0,3.2,31.1,1,1,2,alto
70.3,7.5,71.9,16,0,3,baixo
42.6,3.9,56.6,4,1,2,alto
100.0,6.4,90.5,17,0,3,baixo
82.0,9.4,81.0,11,1,3,baixo
74.5,5.4,58.0,7,1,2,medio
62.1,2.6,85.2,9,3,2,medio
59.3,5.0,67.4,15,0,1,medio
90.9,6.8,78.2,14,0,2,baixo
73.3,9.0,87.3,11,2,3,baixo
80.8,7.4,95.2,10,0,3,baixo
53.1,7.3,63.0,6,1,2,medio
65.5,5.0,38.9,11,0,2,medio
61.4,2.3,45.5,6,4,3,alto
43.3,6.1,58.5,2,0,1,alto
68.6,4.5,41.7,7,2,1,medio
70.4,8.8,75.5,14,0,3,baixo
83.4,9.1,73.5,18,0,2,baixo
72.4,5.9,64.7,6,2,3,medio
41.8,2.4,48.5,3,2,2,alto
57.0,4.3,42.0,6,2,2,alto
61.9,3.5,80.8,8,2,1,medio
90.1,6.5,95.9,15,1,2,baixo
35.9,2.0,55.2,4,3,3,alto
71.3,5.2,84.0,5,1,2,medio
63.0,2.6,21.5,0,2,1,alto
55.2,5.7,57.3,9,1,3,medio
57.3,6.4,44.3,10,3,1,alto
85.2,8.2,100.0,16,1,3,baixo
77.2,4.0,69.4,10,0,1,medio
55.2,2.5,33.6,3,5,1,alto
71.0,6.6,74.4,13,2,3,baixo
91.4,2.8,61.2,12,2,2,medio
38.6,3.1,29.4,3,5,3,alto
57.8,6.0,62.5,15,1,1,medio
79.7,5.9,34.0,12,2,2,medio
88.1,6.8,100.0,15,0,2,baixo
33.8,6.6,36.3,4,1,1,alto
58.5,3.6,66.3,7,1,2,medio
85.8,8.6,90.7,14,0,2,baixo
100.0,7.7,98.9,11,0,2,baixo
87.8,7.7,99.4,14,0,3,baixo
64.6,4.0,52.9,8,1,2,medio
70.1,8.9,65.3,11,2,2,medio
47.3,3.8,25.5,2,3,1,alto
92.5,10.0,78.1,7,0,3,baixo
82.8,0.9,79.9,2,5,2,alto
56.0,4.8,53.7,12,3,1,medio
66.0,4.1,92.8,6,0,3,medio
47.4,2.3,54.8,9,3,3,alto
96.8,8.5,48.1,6,1,2,medio
40.1,2.1,46.3,6,4,1,alto
97.8,7.9,100.0,15,1,3,baixo
74.7,9.4,90.7,12,0,3,baixo
100.0,8.5,75.8,11,1,3,baixo
89.2,7.1,88.8,8,0,3,baixo
82.4,8.6,91.2,20,0,2,baixo
97.8,5.7,79.9,11,0,3,baixo
33.7,4.4,23.0,2,2,1,alto
67.3,8.2,92.4,7,3,1,baixo
93.2,9.0,42.4,4,2,3,medio
96.9,8.7,88.5,8,0,3,baixo
51.8,1.3,46.1,3,0,1,alto
48.2,5.6,50.5,3,0,1,alto
68.9,3.8,49.5,10,2,3,medio
76.4,5.9,50.6,14,0,3,medio
66.6,4.0,54.1,1,2,1,alto
71.2,7.1,63.5,9,0,2,medio
61.7,6.3,98.2,9,0,3,medio
95.1,9.9,68.2,9,1,2,medio
52.3,2.1,38.5,7,3,2,alto
44.2,3.7,12.8,6,2,2,alto
68.7,4.4,73.3,6,4,2,medio
52.6,6.4,51.1,7,3,3,alto
56.7,3.9,19.3,4,3,3,alto
31.1,6.3,55.8,6,1,2,alto
83.2,4.7,52.4,4,2,3,medio
78.3,6.4,26.3,6,1,2,medio
68.1,4.1,81.3,8,1,2,medio
84.4,8.5,100.0,11,0,3,baixo
67.3,7.2,65.0,7,1,3,medio
66.5,5.5,35.6,5,0,1,medio
50.3,4.3,46.5,7,4,1,alto
60.1,5.4,66.7,6,1,3,medio
92.8,7.3,89.3,12,3,3,baixo
95.3,5.9,76.8,21,2,2,baixo
86.3,9.8,96.9,19,0,3,baixo
66.8,5.5,96.4,7,0,3,baixo
85.4,10.0,94.8,13,2,3,baixo
68.0,4.7,65.4,6,1,3,medio
97.9,8.2,100.0,14,0,3,baixo
68.1,5.7,49.0,9,1,2,medio
99.6,8.1,94.5,16,0,3,baixo
40.3,4.8,47.0,4,4,2,alto
79.9,8.1,88.1,10,0,3,baixo
26.2,4.1,46.8,7,2,2,alto
63.0,6.3,52.8,5,0,2,medio
47.7,6.3,60.3,6,1,2,medio
65.0,8.1,99.7,15,1,2,baixo
50.3,4.9,50.8,6,3,3,alto
81.6,6.7,88.5,18,0,3,baixo
60.1,7.6,51.1,12,3,3,medio
68.7,6.0,70.0,7,0,2,medio
72.1,5.6,45.2,3,0,2,alto
32.6,3.2,34.8,6,0,3,alto
77.0,6.3,92.0,18,2,2,baixo
39.5,2.6,52.7,3,1,2,alto
64.0,5.5,55.8,8,3,3,alto
38.5,2.9,49.3,6,1,1,alto
84.8,4.7,75.2,6,2,1,medio
100.0,8.1,100.0,15,1,2,baixo
48.4,3.0,35.5,3,1,3,alto
91.9,7.1,86.8,9,0,3,baixo
65.4,6.3,57.9,6,0,1,medio
82.1,5.7,75.4,6,1,3,medio
41.7,4.8,21.6,3,3,1,alto
81.1,3.5,78.5,3,0,3,medio
80.0,8.1,68.2,5,1,2,medio
92.0,7.9,93.2,9,0,1,baixo
92.1,6.5,96.4,10,1,2,baixo
53.6,5.0,56.9,3,1,3,alto
67.3,5.7,55.4,9,3,2,medio
64.8,7.2,66.6,8,0,3,medio
85.3,9.0,78.6,10,0,3,baixo
57.9,4.3,21.9,6,0,3,alto
70.2,6.7,78.0,8,4,2,medio
70.4,6.6,60.4,14,2,3,medio
57.2,7.0,80.3,8,0,2,medio
47.2,3.9,54.1,5,1,2,alto
55.3,5.3,47.5,4,1,3,alto
45.6,5.9,66.5,4,3,1,alto
67.8,6.5,49.8,12,0,2,medio
43.3,4.9,70.2,2,2,1,alto
64.7,7.6,54.8,10,1,2,medio
69.4,10.0,97.7,16,1,2,baixo
75.5,3.8,49.7,7,1,2,medio
30.5,4.8,65.3,4,2,2,alto
85.2,9.1,74.9,13,0,3,baixo
20.9,2.0,41.0,5,1,2,alto
91.9,6.2,87.2,9,0,3,baixo
60.7,1.0,39.1,1,1,1,alto
69.7,5.2,44.0,6,2,1,medio
77.1,7.7,78.0,9,0,3,baixo
55.8,5.4,41.0,4,1,1,alto
100.0,6.3,74.6,10,0,2,baixo
54.4,6.0,60.2,10,2,1,medio
100.0,9.5,100.0,10,1,2,baixo
100.0,7.1,92.1,14,2,2,baixo
70.4,4.0,56.3,8,0,2,medio
63.7,2.3,52.9,2,3,1,alto
83.9,8.6,55.1,15,0,3,baixo
